Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
externalTools/MetricsGather/src/foo/Main.java;1;1;1;ROOT;1;32
externalTools/MetricsGather/src/foo/Main.java;1;1;1;artifact;1;31
externalTools/MetricsGather/src/metrics/GatherMetrics.java;1;1;1;ROOT;1;162
externalTools/MetricsGather/src/metrics/GatherMetrics.java;1;1;1;artifact;1;161
externalTools/MetricsGather/src/metrics/Metric.java;1;1;1;ROOT;1;60
externalTools/MetricsGather/src/metrics/Metric.java;1;1;1;artifact;1;59
externalTools/MetricsGather/src/metrics/MetricType.java;1;1;1;ROOT;1;42
externalTools/MetricsGather/src/metrics/MetricType.java;1;1;1;artifact;1;41
externalTools/MetricsGather/src/metrics/MetricsProcessor.java;1;1;1;ROOT;1;310
externalTools/MetricsGather/src/metrics/MetricsProcessor.java;1;1;1;artifact;1;309
externalTools/MetricsGather/src/metrics/SubMetric.java;1;1;1;ROOT;1;30
externalTools/MetricsGather/src/metrics/SubMetric.java;1;1;1;artifact;1;29
externalTools/MetricsGather/src/util/Log.java;1;1;1;ROOT;1;45
externalTools/MetricsGather/src/util/Log.java;1;1;1;artifact;1;44
src/argouml-app/src/org/argouml/application/ArgoVersion.java;1;1;1;ROOT;1;63
src/argouml-app/src/org/argouml/application/ArgoVersion.java;1;1;1;artifact;1;62
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;ROOT;1;1094
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;1;47
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;48;48
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;49;52
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;53;53
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;54;57
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;58;58
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;59;64
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;endif;65;65
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;66;83
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_ACTIVITYDIAGRAM;1 && DEFINED_ACTIVITYDIAGRAM;if;84;84
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_ACTIVITYDIAGRAM;1 && DEFINED_ACTIVITYDIAGRAM;artifact;85;86
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_ACTIVITYDIAGRAM;1 && DEFINED_ACTIVITYDIAGRAM;endif;87;87
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COLLABORATIONDIAGRAM;1 && DEFINED_COLLABORATIONDIAGRAM;if;88;88
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COLLABORATIONDIAGRAM;1 && DEFINED_COLLABORATIONDIAGRAM;artifact;89;90
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COLLABORATIONDIAGRAM;1 && DEFINED_COLLABORATIONDIAGRAM;endif;91;91
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_DEPLOYMENTDIAGRAM;1 && DEFINED_DEPLOYMENTDIAGRAM;if;92;92
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_DEPLOYMENTDIAGRAM;1 && DEFINED_DEPLOYMENTDIAGRAM;artifact;93;94
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_DEPLOYMENTDIAGRAM;1 && DEFINED_DEPLOYMENTDIAGRAM;endif;95;95
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_SEQUENCEDIAGRAM;1 && DEFINED_SEQUENCEDIAGRAM;if;96;96
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_SEQUENCEDIAGRAM;1 && DEFINED_SEQUENCEDIAGRAM;artifact;97;98
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_SEQUENCEDIAGRAM;1 && DEFINED_SEQUENCEDIAGRAM;endif;99;99
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_STATEDIAGRAM;1 && DEFINED_STATEDIAGRAM;if;100;100
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_STATEDIAGRAM;1 && DEFINED_STATEDIAGRAM;artifact;101;102
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_STATEDIAGRAM;1 && DEFINED_STATEDIAGRAM;endif;103;103
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;104;105
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_USECASEDIAGRAM;1 && DEFINED_USECASEDIAGRAM;if;106;106
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_USECASEDIAGRAM;1 && DEFINED_USECASEDIAGRAM;artifact;107;108
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_USECASEDIAGRAM;1 && DEFINED_USECASEDIAGRAM;endif;109;109
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;110;128
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;129;129
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;130;138
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;139;139
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;140;165
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;166;166
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;167;169
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;170;170
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;171;243
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;244;244
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;245;248
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;endif;249;249
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;250;256
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;257;257
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;258;265
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;266;266
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;267;273
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;274;274
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;275;279
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;280;280
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;281;284
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;285;285
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;286;286
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;287;287
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;288;306
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;307;307
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;308;309
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;310;310
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;311;321
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;322;322
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;323;335
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;endif;336;336
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;337;450
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_ACTIVITYDIAGRAM;1 && DEFINED_ACTIVITYDIAGRAM;if;451;451
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_ACTIVITYDIAGRAM;1 && DEFINED_ACTIVITYDIAGRAM;artifact;452;453
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_ACTIVITYDIAGRAM;1 && DEFINED_ACTIVITYDIAGRAM;endif;454;454
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COLLABORATIONDIAGRAM;1 && DEFINED_COLLABORATIONDIAGRAM;if;455;455
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COLLABORATIONDIAGRAM;1 && DEFINED_COLLABORATIONDIAGRAM;artifact;456;457
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COLLABORATIONDIAGRAM;1 && DEFINED_COLLABORATIONDIAGRAM;endif;458;458
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_DEPLOYMENTDIAGRAM;1 && DEFINED_DEPLOYMENTDIAGRAM;if;459;459
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_DEPLOYMENTDIAGRAM;1 && DEFINED_DEPLOYMENTDIAGRAM;artifact;460;461
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_DEPLOYMENTDIAGRAM;1 && DEFINED_DEPLOYMENTDIAGRAM;endif;462;462
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_SEQUENCEDIAGRAM;1 && DEFINED_SEQUENCEDIAGRAM;if;463;463
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_SEQUENCEDIAGRAM;1 && DEFINED_SEQUENCEDIAGRAM;artifact;464;465
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_SEQUENCEDIAGRAM;1 && DEFINED_SEQUENCEDIAGRAM;endif;466;466
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_STATEDIAGRAM;1 && DEFINED_STATEDIAGRAM;if;467;467
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_STATEDIAGRAM;1 && DEFINED_STATEDIAGRAM;artifact;468;469
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_STATEDIAGRAM;1 && DEFINED_STATEDIAGRAM;endif;470;470
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;471;471
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_USECASEDIAGRAM;1 && DEFINED_USECASEDIAGRAM;if;472;472
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_USECASEDIAGRAM;1 && DEFINED_USECASEDIAGRAM;artifact;473;474
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_USECASEDIAGRAM;1 && DEFINED_USECASEDIAGRAM;endif;475;475
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;476;476
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;477;477
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;478;480
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;endif;481;481
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;482;506
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;507;507
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;508;510
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;511;511
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;512;525
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;526;526
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;527;529
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;endif;530;530
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;531;565
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;566;566
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;567;569
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;endif;570;570
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;571;581
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;582;582
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;583;586
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;587;587
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;588;589
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;590;590
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;591;596
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;597;597
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;598;636
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;637;637
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;638;639
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;640;640
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;641;846
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;847;847
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;848;892
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;893;893
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;894;927
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;928;928
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;929;930
src/argouml-app/src/org/argouml/application/Main.java;1;!DEFINED_COGNITIVE;!DEFINED_COGNITIVE && 1;else;931;931
src/argouml-app/src/org/argouml/application/Main.java;1;!DEFINED_COGNITIVE;!DEFINED_COGNITIVE && 1;artifact;932;932
src/argouml-app/src/org/argouml/application/Main.java;1;!DEFINED_COGNITIVE;!DEFINED_COGNITIVE && 1;endif;933;933
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;934;997
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;998;998
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;999;1003
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;1004;1004
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;1005;1026
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;1027;1027
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;1028;1029
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;1030;1030
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;1031;1036
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;1037;1037
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;1038;1039
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;1040;1040
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;1041;1049
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;1050;1050
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;1051;1055
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;1056;1056
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;1057;1071
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;1072;1072
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;1073;1074
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;1075;1075
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;1076;1084
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;if;1085;1085
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;artifact;1086;1088
src/argouml-app/src/org/argouml/application/Main.java;1;DEFINED_LOGGING;1 && DEFINED_LOGGING;endif;1089;1089
src/argouml-app/src/org/argouml/application/Main.java;1;1;1;artifact;1090;1093
src/argouml-app/src/org/argouml/application/StartCritics.java;1;1;1;ROOT;1;105
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;if;1;1
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;2;29
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;if;30;30
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;artifact;31;33
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;endif;34;34
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;35;50
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;if;51;51
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;artifact;52;57
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;endif;58;58
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;59;76
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;if;77;77
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;artifact;78;80
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_LOGGING;1 && DEFINED_COGNITIVE && DEFINED_LOGGING;endif;81;81
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;artifact;82;103
src/argouml-app/src/org/argouml/application/StartCritics.java;1;DEFINED_COGNITIVE;1 && DEFINED_COGNITIVE;endif;104;104
