Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
dist/api_flags.c;1;1;1;ROOT;1;446
dist/api_flags.c;1;1;1;artifact;1;445
dist/errno.h;1;1;1;ROOT;1;188
dist/errno.h;1;1;1;artifact;1;39
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;if;40;40
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;41;60
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;if;61;61
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;artifact;62;62
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;endif;63;63
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;64;73
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;if;74;74
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;artifact;75;75
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;endif;76;76
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;77;89
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;if;90;90
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;artifact;91;125
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;endif;126;126
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;127;129
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;if;130;130
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;artifact;131;132
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;endif;133;133
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;134;136
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;if;137;137
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;artifact;138;149
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;endif;150;150
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;151;154
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;if;155;155
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;artifact;156;166
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;endif;167;167
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;168;173
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;if;174;174
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;artifact;175;175
dist/errno.h;1;!_POSIX_SOURCE;1 && !_SYS_ERRNO_H_ && !_POSIX_SOURCE;endif;176;176
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;177;177
dist/errno.h;1;_KERNEL;1 && !_SYS_ERRNO_H_ && _KERNEL;if;178;178
dist/errno.h;1;_KERNEL;1 && !_SYS_ERRNO_H_ && _KERNEL;artifact;179;183
dist/errno.h;1;_KERNEL;1 && !_SYS_ERRNO_H_ && _KERNEL;endif;184;184
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;artifact;185;185
dist/errno.h;1;!_SYS_ERRNO_H_;1 && !_SYS_ERRNO_H_;endif;186;186
dist/errno.h;1;1;1;artifact;187;187
dist/validate/s_chk_comma.c;1;1;1;ROOT;1;55
dist/validate/s_chk_comma.c;1;1;1;artifact;1;54
dist/validate/s_chk_flags.c;1;1;1;ROOT;1;81
dist/validate/s_chk_flags.c;1;1;1;artifact;1;80
dist/validate/s_chk_logverify.c;1;1;1;ROOT;1;269
dist/validate/s_chk_logverify.c;1;1;1;artifact;1;268
examples/c/csv/DbRecord.c;1;1;1;ROOT;1;472
examples/c/csv/DbRecord.c;1;1;1;artifact;1;319
examples/c/csv/DbRecord.c;1;HAVE_WILDCARD_SUPPORT;1 && HAVE_WILDCARD_SUPPORT;if;320;320
examples/c/csv/DbRecord.c;1;HAVE_WILDCARD_SUPPORT;1 && HAVE_WILDCARD_SUPPORT;artifact;321;321
examples/c/csv/DbRecord.c;1;HAVE_WILDCARD_SUPPORT;1 && HAVE_WILDCARD_SUPPORT;endif;322;322
examples/c/csv/DbRecord.c;1;1;1;artifact;323;342
examples/c/csv/DbRecord.c;1;HAVE_WILDCARD_SUPPORT;1 && HAVE_WILDCARD_SUPPORT;if;343;343
examples/c/csv/DbRecord.c;1;HAVE_WILDCARD_SUPPORT;1 && HAVE_WILDCARD_SUPPORT;artifact;344;354
examples/c/csv/DbRecord.c;1;!HAVE_WILDCARD_SUPPORT;!HAVE_WILDCARD_SUPPORT && 1;else;355;355
examples/c/csv/DbRecord.c;1;!HAVE_WILDCARD_SUPPORT;!HAVE_WILDCARD_SUPPORT && 1;artifact;356;358
examples/c/csv/DbRecord.c;1;!HAVE_WILDCARD_SUPPORT;!HAVE_WILDCARD_SUPPORT && 1;endif;359;359
examples/c/csv/DbRecord.c;1;1;1;artifact;360;463
examples/c/csv/DbRecord.c;1;HAVE_WILDCARD_SUPPORT;1 && HAVE_WILDCARD_SUPPORT;if;464;464
examples/c/csv/DbRecord.c;1;HAVE_WILDCARD_SUPPORT;1 && HAVE_WILDCARD_SUPPORT;artifact;465;466
