Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
app/app_procs.c;1;1;1;ROOT;1;1236
app/app_procs.c;1;1;1;artifact;1;29
app/app_procs.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;if;30;30
app/app_procs.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;artifact;31;31
app/app_procs.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;endif;32;32
app/app_procs.c;1;1;1;artifact;33;376
app/app_procs.c;1;__GNUC__;1 && __GNUC__;if;377;377
app/app_procs.c;1;__GNUC__;1 && __GNUC__;artifact;378;378
app/app_procs.c;1;DEFINED__MSC_VER && !__GNUC__;DEFINED__MSC_VER && !__GNUC__ && 1;elif;379;379
app/app_procs.c;1;DEFINED__MSC_VER && !__GNUC__;DEFINED__MSC_VER && !__GNUC__ && 1;artifact;380;380
app/app_procs.c;1;!DEFINED__MSC_VER && !__GNUC__;!DEFINED__MSC_VER && !__GNUC__ && 1;else;381;381
app/app_procs.c;1;!DEFINED__MSC_VER && !__GNUC__;!DEFINED__MSC_VER && !__GNUC__ && 1;artifact;382;382
app/app_procs.c;1;!DEFINED__MSC_VER && !__GNUC__;!DEFINED__MSC_VER && !__GNUC__ && 1;endif;383;383
app/app_procs.c;1;1;1;artifact;384;391
app/app_procs.c;1;0;1 && 0;if;392;392
app/app_procs.c;1;0;1 && 0;artifact;393;401
app/app_procs.c;1;0;1 && 0;endif;402;402
app/app_procs.c;1;1;1;artifact;403;506
app/app_procs.c;1;G_OS_WIN32;1 && G_OS_WIN32;if;507;507
app/app_procs.c;1;G_OS_WIN32;1 && G_OS_WIN32;artifact;508;509
app/app_procs.c;1;!G_OS_WIN32;!G_OS_WIN32 && 1;else;510;510
app/app_procs.c;1;!G_OS_WIN32;!G_OS_WIN32 && 1;artifact;511;511
app/app_procs.c;1;!G_OS_WIN32;!G_OS_WIN32 && 1;endif;512;512
app/app_procs.c;1;1;1;artifact;513;726
app/app_procs.c;1;DEFINED___TIME__ && DEFINED___DATE__;1 && DEFINED___TIME__ && DEFINED___DATE__;if;727;727
app/app_procs.c;1;DEFINED___TIME__ && DEFINED___DATE__;1 && DEFINED___TIME__ && DEFINED___DATE__;artifact;728;729
app/app_procs.c;1;!DEFINED___TIME__ || !DEFINED___DATE__;(!DEFINED___TIME__ || !DEFINED___DATE__) && 1;else;730;730
app/app_procs.c;1;!DEFINED___TIME__ || !DEFINED___DATE__;(!DEFINED___TIME__ || !DEFINED___DATE__) && 1;artifact;731;731
app/app_procs.c;1;!DEFINED___TIME__ || !DEFINED___DATE__;(!DEFINED___TIME__ || !DEFINED___DATE__) && 1;endif;732;732
app/app_procs.c;1;1;1;artifact;733;822
app/app_procs.c;1;0;1 && 0;if;823;823
app/app_procs.c;1;0;1 && 0;artifact;824;825
app/app_procs.c;1;0;1 && 0;endif;826;826
app/app_procs.c;1;1;1;artifact;827;1043
app/app_procs.c;1;G_OS_WIN32;1 && G_OS_WIN32;if;1044;1044
app/app_procs.c;1;G_OS_WIN32;1 && G_OS_WIN32;artifact;1045;1051
app/app_procs.c;1;G_OS_WIN32;1 && G_OS_WIN32;endif;1052;1052
app/app_procs.c;1;1;1;artifact;1053;1054
app/app_procs.c;1;!G_OS_WIN32;1 && !G_OS_WIN32;if;1055;1055
app/app_procs.c;1;!G_OS_WIN32;1 && !G_OS_WIN32;artifact;1056;1057
app/app_procs.c;1;G_OS_WIN32;G_OS_WIN32 && 1;else;1058;1058
app/app_procs.c;1;G_OS_WIN32;G_OS_WIN32 && 1;artifact;1059;1060
app/app_procs.c;1;G_OS_WIN32;G_OS_WIN32 && 1;endif;1061;1061
app/app_procs.c;1;1;1;artifact;1062;1235
app/app_procs.h;1;1;1;ROOT;1;34
app/app_procs.h;1;1;1;artifact;1;33
app/authors.h;1;1;1;ROOT;1;124
app/authors.h;1;1;1;artifact;1;123
app/autosave.c;1;1;1;ROOT;1;75
app/autosave.c;1;1;1;artifact;1;74
app/autosave.h;1;1;1;ROOT;1;28
app/autosave.h;1;1;1;artifact;1;18
app/autosave.h;1;!AUTOSAVE_H;1 && !AUTOSAVE_H;if;19;19
app/autosave.h;1;!AUTOSAVE_H;1 && !AUTOSAVE_H;artifact;20;25
app/autosave.h;1;!AUTOSAVE_H;1 && !AUTOSAVE_H;endif;26;26
app/autosave.h;1;1;1;artifact;27;27
app/commands.c;1;1;1;ROOT;1;1779
app/commands.c;1;1;1;artifact;1;21
app/commands.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;if;22;22
app/commands.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;artifact;23;23
app/commands.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;endif;24;24
app/commands.c;1;1;1;artifact;25;34
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;if;35;35
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;artifact;36;36
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;endif;37;37
app/commands.c;1;1;1;artifact;38;56
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;if;57;57
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;artifact;58;69
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;endif;70;70
app/commands.c;1;1;1;artifact;71;457
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;if;458;458
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;artifact;459;463
app/commands.c;1;G_OS_WIN32;1 && G_OS_WIN32;endif;464;464
app/commands.c;1;1;1;artifact;465;604
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;if;605;605
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;artifact;606;607
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;else;608;608
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;artifact;609;610
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;endif;611;611
app/commands.c;1;1;1;artifact;612;686
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;if;687;687
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;artifact;688;690
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;else;691;691
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;artifact;692;694
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;endif;695;695
app/commands.c;1;1;1;artifact;696;855
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;if;856;856
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;artifact;857;858
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;else;859;859
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;artifact;860;861
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;endif;862;862
app/commands.c;1;1;1;artifact;863;898
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;if;899;899
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;artifact;900;901
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;else;902;902
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;artifact;903;904
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;endif;905;905
app/commands.c;1;1;1;artifact;906;927
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;if;928;928
app/commands.c;1;!GDK_WINDOWING_X11;1 && !GDK_WINDOWING_X11;artifact;929;930
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;else;931;931
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;artifact;932;933
app/commands.c;1;GDK_WINDOWING_X11;GDK_WINDOWING_X11 && 1;endif;934;934
