Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
src/common.h;1;1;1;ROOT;1;109
src/common.h;1;!IRSSI_COMMON_H;1 && !IRSSI_COMMON_H;if;1;1
src/common.h;1;!IRSSI_COMMON_H;1 && !IRSSI_COMMON_H;artifact;2;25
src/common.h;1;HAVE_SYS_TIME_H;1 && !IRSSI_COMMON_H && HAVE_SYS_TIME_H;if;26;26
src/common.h;1;HAVE_SYS_TIME_H;1 && !IRSSI_COMMON_H && HAVE_SYS_TIME_H;artifact;27;27
src/common.h;1;HAVE_SYS_TIME_H;1 && !IRSSI_COMMON_H && HAVE_SYS_TIME_H;endif;28;28
src/common.h;1;!IRSSI_COMMON_H;1 && !IRSSI_COMMON_H;artifact;29;30
src/common.h;1;HAVE_UNISTD_H;1 && !IRSSI_COMMON_H && HAVE_UNISTD_H;if;31;31
src/common.h;1;HAVE_UNISTD_H;1 && !IRSSI_COMMON_H && HAVE_UNISTD_H;artifact;32;32
src/common.h;1;HAVE_UNISTD_H;1 && !IRSSI_COMMON_H && HAVE_UNISTD_H;endif;33;33
src/common.h;1;HAVE_DIRENT_H;1 && !IRSSI_COMMON_H && HAVE_DIRENT_H;if;34;34
src/common.h;1;HAVE_DIRENT_H;1 && !IRSSI_COMMON_H && HAVE_DIRENT_H;artifact;35;35
src/common.h;1;HAVE_DIRENT_H;1 && !IRSSI_COMMON_H && HAVE_DIRENT_H;endif;36;36
src/common.h;1;!IRSSI_COMMON_H;1 && !IRSSI_COMMON_H;artifact;37;106
src/common.h;1;!IRSSI_COMMON_H;1 && !IRSSI_COMMON_H;endif;107;107
src/common.h;1;1;1;artifact;108;108
src/core/args.c;1;1;1;ROOT;1;54
src/core/args.c;1;1;1;artifact;1;53
src/core/args.h;1;1;1;ROOT;1;9
src/core/args.h;1;!IRSSI_CORE_ARGS_H;1 && !IRSSI_CORE_ARGS_H;if;1;1
src/core/args.h;1;!IRSSI_CORE_ARGS_H;1 && !IRSSI_CORE_ARGS_H;artifact;2;6
src/core/args.h;1;!IRSSI_CORE_ARGS_H;1 && !IRSSI_CORE_ARGS_H;endif;7;7
src/core/args.h;1;1;1;artifact;8;8
src/core/capsicum.c;1;1;1;ROOT;1;510
