Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
examples/authentication.c;1;1;1;ROOT;1;243
examples/authentication.c;1;1;1;artifact;1;242
examples/connect_ssh.c;1;1;1;ROOT;1;69
examples/connect_ssh.c;1;1;1;artifact;1;68
examples/examples_common.h;1;1;1;ROOT;1;28
examples/examples_common.h;1;1;1;artifact;1;12
examples/examples_common.h;1;!EXAMPLES_COMMON_H_;1 && !EXAMPLES_COMMON_H_;if;13;13
examples/examples_common.h;1;!EXAMPLES_COMMON_H_;1 && !EXAMPLES_COMMON_H_;artifact;14;25
examples/examples_common.h;1;!EXAMPLES_COMMON_H_;1 && !EXAMPLES_COMMON_H_;endif;26;26
examples/examples_common.h;1;1;1;artifact;27;27
examples/exec.c;1;1;1;ROOT;1;83
examples/exec.c;1;1;1;artifact;1;82
examples/keygen.c;1;1;1;ROOT;1;43
examples/keygen.c;1;1;1;artifact;1;42
examples/keygen2.c;1;1;1;ROOT;1;523
examples/keygen2.c;1;1;1;artifact;1;437
examples/keygen2.c;1;HAVE_EXPLICIT_BZERO;1 && HAVE_EXPLICIT_BZERO;if;438;438
examples/keygen2.c;1;HAVE_EXPLICIT_BZERO;1 && HAVE_EXPLICIT_BZERO;artifact;439;439
examples/keygen2.c;1;!HAVE_EXPLICIT_BZERO;!HAVE_EXPLICIT_BZERO && 1;else;440;440
examples/keygen2.c;1;!HAVE_EXPLICIT_BZERO;!HAVE_EXPLICIT_BZERO && 1;artifact;441;441
examples/keygen2.c;1;!HAVE_EXPLICIT_BZERO;!HAVE_EXPLICIT_BZERO && 1;endif;442;442
examples/keygen2.c;1;1;1;artifact;443;508
examples/keygen2.c;1;HAVE_EXPLICIT_BZERO;1 && HAVE_EXPLICIT_BZERO;if;509;509
examples/keygen2.c;1;HAVE_EXPLICIT_BZERO;1 && HAVE_EXPLICIT_BZERO;artifact;510;510
examples/keygen2.c;1;!HAVE_EXPLICIT_BZERO;!HAVE_EXPLICIT_BZERO && 1;else;511;511
examples/keygen2.c;1;!HAVE_EXPLICIT_BZERO;!HAVE_EXPLICIT_BZERO && 1;artifact;512;512
examples/keygen2.c;1;!HAVE_EXPLICIT_BZERO;!HAVE_EXPLICIT_BZERO && 1;endif;513;513
examples/keygen2.c;1;1;1;artifact;514;522
examples/knownhosts.c;1;1;1;ROOT;1;119
examples/knownhosts.c;1;1;1;artifact;1;30
examples/knownhosts.c;1;_WIN32;1 && _WIN32;if;31;31
examples/knownhosts.c;1;_WIN32;1 && _WIN32;artifact;32;32
examples/knownhosts.c;1;_WIN32;1 && _WIN32;endif;33;33
examples/knownhosts.c;1;1;1;artifact;34;118
examples/libssh_scp.c;1;1;1;ROOT;1;458
examples/libssh_scp.c;1;1;1;artifact;1;24
examples/libssh_scp.c;1;!BUF_SIZE;1 && !BUF_SIZE;if;25;25
examples/libssh_scp.c;1;!BUF_SIZE;1 && !BUF_SIZE;artifact;26;26
examples/libssh_scp.c;1;!BUF_SIZE;1 && !BUF_SIZE;endif;27;27
examples/libssh_scp.c;1;1;1;artifact;28;457
examples/libsshpp.cpp;1;1;1;ROOT;1;35
examples/libsshpp.cpp;1;1;1;artifact;1;34
examples/libsshpp_noexcept.cpp;1;1;1;ROOT;1;43
examples/libsshpp_noexcept.cpp;1;1;1;artifact;1;42
examples/proxy.c;1;1;1;ROOT;1;341
examples/proxy.c;1;1;1;artifact;1;20
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;21;21
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;22;22
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;23;23
examples/proxy.c;1;1;1;artifact;24;27
examples/proxy.c;1;!BUF_SIZE;1 && !BUF_SIZE;if;28;28
examples/proxy.c;1;!BUF_SIZE;1 && !BUF_SIZE;artifact;29;29
examples/proxy.c;1;!BUF_SIZE;1 && !BUF_SIZE;endif;30;30
examples/proxy.c;1;1;1;artifact;31;115
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;116;116
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;117;204
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;205;205
examples/proxy.c;1;1;1;artifact;206;229
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;230;230
examples/proxy.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;231;235
examples/proxy.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;else;236;236
examples/proxy.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;artifact;237;238
examples/proxy.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;endif;239;239
examples/proxy.c;1;1;1;artifact;240;340
examples/sample_sftpserver.c;1;1;1;ROOT;1;517
examples/sample_sftpserver.c;1;1;1;artifact;1;21
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;22;22
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;23;23
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;24;24
examples/sample_sftpserver.c;1;1;1;artifact;25;25
examples/sample_sftpserver.c;1;HAVE_LIBUTIL_H;1 && HAVE_LIBUTIL_H;if;26;26
examples/sample_sftpserver.c;1;HAVE_LIBUTIL_H;1 && HAVE_LIBUTIL_H;artifact;27;27
examples/sample_sftpserver.c;1;HAVE_LIBUTIL_H;1 && HAVE_LIBUTIL_H;endif;28;28
examples/sample_sftpserver.c;1;HAVE_PTY_H;1 && HAVE_PTY_H;if;29;29
examples/sample_sftpserver.c;1;HAVE_PTY_H;1 && HAVE_PTY_H;artifact;30;30
examples/sample_sftpserver.c;1;HAVE_PTY_H;1 && HAVE_PTY_H;endif;31;31
examples/sample_sftpserver.c;1;1;1;artifact;32;33
examples/sample_sftpserver.c;1;HAVE_UTMP_H;1 && HAVE_UTMP_H;if;34;34
examples/sample_sftpserver.c;1;HAVE_UTMP_H;1 && HAVE_UTMP_H;artifact;35;35
examples/sample_sftpserver.c;1;HAVE_UTMP_H;1 && HAVE_UTMP_H;endif;36;36
examples/sample_sftpserver.c;1;HAVE_UTIL_H;1 && HAVE_UTIL_H;if;37;37
examples/sample_sftpserver.c;1;HAVE_UTIL_H;1 && HAVE_UTIL_H;artifact;38;38
examples/sample_sftpserver.c;1;HAVE_UTIL_H;1 && HAVE_UTIL_H;endif;39;39
examples/sample_sftpserver.c;1;1;1;artifact;40;53
examples/sample_sftpserver.c;1;!KEYS_FOLDER;1 && !KEYS_FOLDER;if;54;54
examples/sample_sftpserver.c;1;_WIN32;1 && !KEYS_FOLDER && _WIN32;if;55;55
examples/sample_sftpserver.c;1;_WIN32;1 && !KEYS_FOLDER && _WIN32;artifact;56;56
examples/sample_sftpserver.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;else;57;57
examples/sample_sftpserver.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;artifact;58;58
examples/sample_sftpserver.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;endif;59;59
examples/sample_sftpserver.c;1;!KEYS_FOLDER;1 && !KEYS_FOLDER;endif;60;60
examples/sample_sftpserver.c;1;1;1;artifact;61;85
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;86;86
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;87;212
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;213;213
examples/sample_sftpserver.c;1;1;1;artifact;214;443
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;444;444
examples/sample_sftpserver.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;445;445
examples/sample_sftpserver.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;else;446;446
examples/sample_sftpserver.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;artifact;447;450
examples/sample_sftpserver.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;endif;451;451
examples/sample_sftpserver.c;1;1;1;artifact;452;516
examples/samplesftp.c;1;1;1;ROOT;1;306
examples/samplesftp.c;1;1;1;artifact;1;21
examples/samplesftp.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;if;22;22
examples/samplesftp.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;artifact;23;23
examples/samplesftp.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;endif;24;24
examples/samplesftp.c;1;1;1;artifact;25;29
examples/samplesftp.c;1;WITH_SFTP;1 && WITH_SFTP;if;30;30
examples/samplesftp.c;1;WITH_SFTP;1 && WITH_SFTP;artifact;31;31
examples/samplesftp.c;1;!BUF_SIZE;1 && WITH_SFTP && !BUF_SIZE;if;32;32
examples/samplesftp.c;1;!BUF_SIZE;1 && WITH_SFTP && !BUF_SIZE;artifact;33;33
examples/samplesftp.c;1;!BUF_SIZE;1 && WITH_SFTP && !BUF_SIZE;endif;34;34
examples/samplesftp.c;1;WITH_SFTP;1 && WITH_SFTP;artifact;35;303
examples/samplesftp.c;1;WITH_SFTP;1 && WITH_SFTP;endif;304;304
examples/samplesftp.c;1;1;1;artifact;305;305
examples/samplesshd-cb.c;1;1;1;ROOT;1;344
examples/samplesshd-cb.c;1;1;1;artifact;1;20
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;21;21
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;22;22
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;23;23
examples/samplesshd-cb.c;1;1;1;artifact;24;27
examples/samplesshd-cb.c;1;_WIN32;1 && _WIN32;if;28;28
examples/samplesshd-cb.c;1;_WIN32;1 && _WIN32;artifact;29;29
examples/samplesshd-cb.c;1;_WIN32;1 && _WIN32;endif;30;30
examples/samplesshd-cb.c;1;1;1;artifact;31;31
examples/samplesshd-cb.c;1;!BUF_SIZE;1 && !BUF_SIZE;if;32;32
examples/samplesshd-cb.c;1;!BUF_SIZE;1 && !BUF_SIZE;artifact;33;33
examples/samplesshd-cb.c;1;!BUF_SIZE;1 && !BUF_SIZE;endif;34;34
examples/samplesshd-cb.c;1;1;1;artifact;35;35
examples/samplesshd-cb.c;1;!KEYS_FOLDER;1 && !KEYS_FOLDER;if;36;36
examples/samplesshd-cb.c;1;_WIN32;1 && !KEYS_FOLDER && _WIN32;if;37;37
examples/samplesshd-cb.c;1;_WIN32;1 && !KEYS_FOLDER && _WIN32;artifact;38;38
examples/samplesshd-cb.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;else;39;39
examples/samplesshd-cb.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;artifact;40;40
examples/samplesshd-cb.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;endif;41;41
examples/samplesshd-cb.c;1;!KEYS_FOLDER;1 && !KEYS_FOLDER;endif;42;42
examples/samplesshd-cb.c;1;1;1;artifact;43;91
examples/samplesshd-cb.c;1;WITH_GSSAPI;1 && WITH_GSSAPI;if;92;92
examples/samplesshd-cb.c;1;WITH_GSSAPI;1 && WITH_GSSAPI;artifact;93;104
examples/samplesshd-cb.c;1;WITH_GSSAPI;1 && WITH_GSSAPI;endif;105;105
examples/samplesshd-cb.c;1;1;1;artifact;106;145
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;146;146
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;147;244
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;245;245
examples/samplesshd-cb.c;1;1;1;artifact;246;254
examples/samplesshd-cb.c;1;WITH_GSSAPI;1 && WITH_GSSAPI;if;255;255
examples/samplesshd-cb.c;1;WITH_GSSAPI;1 && WITH_GSSAPI;artifact;256;256
examples/samplesshd-cb.c;1;WITH_GSSAPI;1 && WITH_GSSAPI;endif;257;257
examples/samplesshd-cb.c;1;1;1;artifact;258;269
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;270;270
examples/samplesshd-cb.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;271;275
examples/samplesshd-cb.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;else;276;276
examples/samplesshd-cb.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;artifact;277;278
examples/samplesshd-cb.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;endif;279;279
examples/samplesshd-cb.c;1;1;1;artifact;280;343
examples/samplesshd-kbdint.c;1;1;1;ROOT;1;416
examples/samplesshd-kbdint.c;1;1;1;artifact;1;19
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;20;20
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;21;21
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;22;22
examples/samplesshd-kbdint.c;1;1;1;artifact;23;27
examples/samplesshd-kbdint.c;1;!BUF_SIZE;1 && !BUF_SIZE;if;28;28
examples/samplesshd-kbdint.c;1;!BUF_SIZE;1 && !BUF_SIZE;artifact;29;29
examples/samplesshd-kbdint.c;1;!BUF_SIZE;1 && !BUF_SIZE;endif;30;30
examples/samplesshd-kbdint.c;1;1;1;artifact;31;34
examples/samplesshd-kbdint.c;1;!KEYS_FOLDER;1 && !KEYS_FOLDER;if;35;35
examples/samplesshd-kbdint.c;1;_WIN32;1 && !KEYS_FOLDER && _WIN32;if;36;36
examples/samplesshd-kbdint.c;1;_WIN32;1 && !KEYS_FOLDER && _WIN32;artifact;37;37
examples/samplesshd-kbdint.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;else;38;38
examples/samplesshd-kbdint.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;artifact;39;39
examples/samplesshd-kbdint.c;1;!_WIN32;!_WIN32 && 1 && !KEYS_FOLDER;endif;40;40
examples/samplesshd-kbdint.c;1;!KEYS_FOLDER;1 && !KEYS_FOLDER;endif;41;41
examples/samplesshd-kbdint.c;1;1;1;artifact;42;45
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;if;46;46
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;artifact;47;66
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;endif;67;67
examples/samplesshd-kbdint.c;1;1;1;artifact;68;85
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;86;86
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;87;174
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;endif;175;175
examples/samplesshd-kbdint.c;1;1;1;artifact;176;298
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;if;299;299
examples/samplesshd-kbdint.c;1;HAVE_ARGP_H;1 && HAVE_ARGP_H;artifact;300;304
examples/samplesshd-kbdint.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;else;305;305
examples/samplesshd-kbdint.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;artifact;306;307
examples/samplesshd-kbdint.c;1;!HAVE_ARGP_H;!HAVE_ARGP_H && 1;endif;308;308
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;if;309;309
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;artifact;310;310
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;endif;311;311
examples/samplesshd-kbdint.c;1;1;1;artifact;312;407
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;if;408;408
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;artifact;409;409
examples/samplesshd-kbdint.c;1;WITH_PCAP;1 && WITH_PCAP;endif;410;410
examples/samplesshd-kbdint.c;1;1;1;artifact;411;415
examples/senddata.c;1;1;1;ROOT;1;66
examples/senddata.c;1;1;1;artifact;1;65
examples/ssh_X11_client.c;1;1;1;ROOT;1;952
examples/ssh_X11_client.c;1;1;1;artifact;1;246
examples/ssh_X11_client.c;1;IUCLC;1 && IUCLC;if;247;247
examples/ssh_X11_client.c;1;IUCLC;1 && IUCLC;artifact;248;248
examples/ssh_X11_client.c;1;IUCLC;1 && IUCLC;endif;249;249
examples/ssh_X11_client.c;1;1;1;artifact;250;250
examples/ssh_X11_client.c;1;IEXTEN;1 && IEXTEN;if;251;251
examples/ssh_X11_client.c;1;IEXTEN;1 && IEXTEN;artifact;252;252
examples/ssh_X11_client.c;1;IEXTEN;1 && IEXTEN;endif;253;253
examples/ssh_X11_client.c;1;1;1;artifact;254;951
examples/ssh_client.c;1;1;1;ROOT;1;456
examples/ssh_client.c;1;1;1;artifact;1;24
examples/ssh_client.c;1;HAVE_TERMIOS_H;1 && HAVE_TERMIOS_H;if;25;25
examples/ssh_client.c;1;HAVE_TERMIOS_H;1 && HAVE_TERMIOS_H;artifact;26;26
examples/ssh_client.c;1;HAVE_TERMIOS_H;1 && HAVE_TERMIOS_H;endif;27;27
examples/ssh_client.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;if;28;28
examples/ssh_client.c;1;HAVE_UNISTD_H;1 && HAVE_UNISTD_H;artifact;29;29
