dataset,metric,number_of_variants,ft_percentage,boost,mistake_type,mistake_percentage,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
argouml-spl,f1,3,5,False,SwappedCondition,25,0.008930929681573475,False,3.7026994071176225e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,SwappedCondition,50,0.12559459615260615,True,3.111811452918326e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,SwappedCondition,75,0.043550366435507436,False,5.633021494076776e-13,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,SwappedCondition,100,0.03646318109904506,False,4.923943146060947e-10,True,3.073364496231079e-08,True
argouml-spl,f1,3,5,False,ErroneousConjunction,25,0.002860382225673979,False,3.19571110699725e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,ErroneousConjunction,50,0.017016270489813367,False,7.504524538006865e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,ErroneousConjunction,75,0.010974972403925785,False,7.907888639093555e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,ErroneousConjunction,100,0.0415582571271376,False,2.3295482080216288e-14,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,SwappedFeature,25,0.012458504583250964,False,1.501347239335565e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,SwappedFeature,50,0.023857866523002563,False,9.725910208404806e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,SwappedFeature,75,0.027787069369598124,False,1.038878157331719e-12,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,False,SwappedFeature,100,0.023566806330131033,False,8.677008307396394e-09,True,2.3562461137771606e-07,True
argouml-spl,f1,3,5,True,SwappedCondition,25,0.007794644413262552,False,3.7114773774855275e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,SwappedCondition,50,0.12594441679491503,True,3.091289864393942e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,SwappedCondition,75,0.04476259508402073,False,5.67530530364637e-13,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,SwappedCondition,100,0.035257024983674515,False,5.817580502577502e-10,True,3.073364496231079e-08,True
argouml-spl,f1,3,5,True,ErroneousConjunction,25,0.003484279786725848,False,2.3613206333230214e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,ErroneousConjunction,50,0.01919122755953775,False,7.653630658848696e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,ErroneousConjunction,75,0.009500808331040013,False,8.106110434662871e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,ErroneousConjunction,100,0.038877508492225266,False,2.161192792251335e-14,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,SwappedFeature,25,0.013111397217290153,False,1.3204000850111541e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,SwappedFeature,50,0.02482847666445636,False,9.820584581766825e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,SwappedFeature,75,0.025953578957349042,False,1.1309921899672405e-12,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,SwappedFeature,100,0.023794704950349722,False,9.441381978116706e-09,True,2.3562461137771606e-07,True
argouml-spl,f1,3,10,False,SwappedCondition,25,0.015637576541635376,False,1.9757331833358364e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,SwappedCondition,50,0.024731134203374767,False,7.817468007097608e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,SwappedCondition,75,0.0733413369657864,True,6.234005795709289e-12,True,1.862645149230957e-09,True
argouml-spl,f1,3,10,False,SwappedCondition,100,0.00708355408632182,False,0.00011250198606349774,True,0.00015637744218111038,True
argouml-spl,f1,3,10,False,ErroneousConjunction,25,0.011155260702364814,False,5.603596273333867e-22,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,ErroneousConjunction,50,0.04142584552554259,False,1.012757272463582e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,ErroneousConjunction,75,0.027248286015390626,False,3.2734653896907235e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,ErroneousConjunction,100,0.026203466266304605,False,3.6079043933220486e-14,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,SwappedFeature,25,0.00862969904773705,False,4.503155257089988e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,SwappedFeature,50,0.05100052659683689,True,3.310298844226225e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,SwappedFeature,75,0.05843285604054718,True,8.297794823969747e-12,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,SwappedFeature,100,0.029789026768551136,False,0.00010877344211439685,True,0.0002774130553007126,True
argouml-spl,f1,3,10,True,SwappedCondition,25,0.014099502371177535,False,2.0080891247694266e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,SwappedCondition,50,0.0247711078899256,False,8.037976170685917e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,SwappedCondition,75,0.07484602684968601,True,6.209512161675533e-12,True,1.862645149230957e-09,True
argouml-spl,f1,3,10,True,SwappedCondition,100,0.007031490690937054,False,0.0001186658349849534,True,0.0001724790781736374,True
argouml-spl,f1,3,10,True,ErroneousConjunction,25,0.010695430606236121,False,5.585065114870897e-22,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,ErroneousConjunction,50,0.04165622298844892,False,9.954181797638975e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,ErroneousConjunction,75,0.025737524074907522,False,3.320032380668386e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,ErroneousConjunction,100,0.030460451006033024,False,3.3920956303260744e-14,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,SwappedFeature,25,0.00867779841228727,False,4.417880609805981e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,SwappedFeature,50,0.05231196513550839,True,3.354376119324787e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,SwappedFeature,75,0.05803625848390983,True,8.495973422130188e-12,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,SwappedFeature,100,0.030475211293938213,False,0.00010838597534925609,True,0.0002774130553007126,True
argouml-spl,f1,3,15,False,SwappedCondition,25,0.0725202436571149,True,1.1987792278235723e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,SwappedCondition,50,0.04244215899546306,False,3.712136528704996e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,SwappedCondition,75,0.7532388912520493,True,7.517691371360865e-10,True,2.3283064365386963e-08,True
argouml-spl,f1,3,15,False,SwappedCondition,100,0.6655231912183035,True,0.24879255566465946,False,0.1799389636144042,False
argouml-spl,f1,3,15,False,ErroneousConjunction,25,0.016362818786412662,False,5.604025896170939e-23,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,ErroneousConjunction,50,0.03499496515771866,False,1.2723257202756597e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,ErroneousConjunction,75,0.07100814891939447,True,4.3113793520896305e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,ErroneousConjunction,100,0.04606046876191253,False,9.16412419163061e-13,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,SwappedFeature,25,0.05104453260263753,True,8.498696258818446e-22,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,SwappedFeature,50,0.05792321526577505,True,1.701716470635341e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,SwappedFeature,75,0.07713069187112459,True,1.446078192663636e-09,True,5.122274160385132e-08,True
argouml-spl,f1,3,15,False,SwappedFeature,100,0.04803322452494591,False,0.22973537377908027,False,0.17460568994283676,False
argouml-spl,f1,3,15,True,SwappedCondition,25,0.07273142720847782,True,1.1774025485213457e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,SwappedCondition,50,0.042606030758307004,False,3.630847783733881e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,SwappedCondition,75,0.7556971712865026,True,7.635138904379023e-10,True,2.3283064365386963e-08,True
argouml-spl,f1,3,15,True,SwappedCondition,100,0.662079338161439,True,0.24862195969304016,False,0.1853703036904335,False
argouml-spl,f1,3,15,True,ErroneousConjunction,25,0.01635958376860061,False,5.519465890585584e-23,True,9.313225746154785e-10,True
