dataset,metric,number_of_variants,ft_percentage,boost,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
argouml-spl,f1,3,5,False,0.011345466362242117,False,1.2172235451556982e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,5,True,0.2825234165136979,True,1.779589106061253e-15,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,False,0.03233008664370142,False,4.055946706975648e-24,True,9.313225746154785e-10,True
argouml-spl,f1,3,10,True,0.2244870074865703,True,5.489461511403677e-19,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,False,0.06393924325740835,True,2.509760622617771e-25,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,0.424049060613941,True,1.2337776875122606e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,0.047305189762913084,False,7.991779341714235e-26,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,0.6044778960065762,True,1.204275267790594e-22,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,0.03577630193310007,False,1.8825144811022202e-26,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,0.22683464865538755,True,8.33625159550509e-25,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,False,0.18873108962834817,True,1.488005160667575e-15,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,True,0.1723409992652577,True,5.078051188206078e-12,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,False,0.20948890449382612,True,1.5598021069274657e-16,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,True,0.0007797562007603189,False,1.1864174510273852e-11,True,9.313225746154785e-10,True
argouml-spl,f1,5,15,False,0.2439498574715689,True,2.862378458767379e-17,True,9.313225746154785e-10,True
argouml-spl,f1,5,15,True,0.02519043962535941,False,5.562742494958061e-13,True,9.313225746154785e-10,True
argouml-spl,f1,5,20,False,0.24952779419037452,True,2.4482753308314976e-17,True,9.313225746154785e-10,True
argouml-spl,f1,5,20,True,0.614238465254306,True,1.1278844637438606e-15,True,9.313225746154785e-10,True
argouml-spl,f1,5,25,False,0.2597706240950094,True,2.584984721546778e-17,True,9.313225746154785e-10,True
argouml-spl,f1,5,25,True,0.7009361418144012,True,1.4332703987238266e-16,True,9.313225746154785e-10,True
argouml-spl,f1,7,5,False,0.021362251711833213,False,2.576870668163029e-10,True,9.313225746154785e-10,True
argouml-spl,f1,7,5,True,1.724506264345496e-05,False,2.540727165382075e-07,True,9.313225746154785e-10,True
argouml-spl,f1,7,10,False,0.025083214486159994,False,9.809310882989253e-11,True,9.313225746154785e-10,True
argouml-spl,f1,7,10,True,4.589093689723947e-06,False,1.3755755588867088e-07,True,9.313225746154785e-10,True
argouml-spl,f1,7,15,False,0.022871084311581392,False,9.05558527253855e-11,True,9.313225746154785e-10,True
argouml-spl,f1,7,15,True,3.442214306346279e-05,False,1.3852646106812774e-07,True,9.313225746154785e-10,True
argouml-spl,f1,7,20,False,0.028385606388963276,False,6.838654435417601e-11,True,9.313225746154785e-10,True
argouml-spl,f1,7,20,True,0.00011728820463888367,False,1.0394454726066871e-08,True,9.313225746154785e-10,True
argouml-spl,f1,7,25,False,0.024055403413590293,False,6.437219021068893e-11,True,9.313225746154785e-10,True
argouml-spl,f1,7,25,True,0.0008327167129483063,False,5.901859718178947e-09,True,9.313225746154785e-10,True
argouml-spl,precision,3,5,False,0.011230041964998294,False,6.556428288211466e-24,True,9.313225746154785e-10,True
argouml-spl,precision,3,5,True,0.0689184464916047,True,1.517358933332381e-15,True,9.313225746154785e-10,True
argouml-spl,precision,3,10,False,0.005325935873531861,False,2.1628345041747654e-27,True,9.313225746154785e-10,True
argouml-spl,precision,3,10,True,0.03804497104255271,False,1.5895064255028081e-19,True,9.313225746154785e-10,True
argouml-spl,precision,3,15,False,0.016009976816052065,False,3.5818400237548586e-29,True,9.313225746154785e-10,True
argouml-spl,precision,3,15,True,0.045505200427288624,False,1.8370670364014425e-21,True,9.313225746154785e-10,True
argouml-spl,precision,3,20,False,0.020833427502448446,False,6.08126352106492e-30,True,9.313225746154785e-10,True
argouml-spl,precision,3,20,True,0.24496889751885054,True,4.549860920806464e-24,True,9.313225746154785e-10,True
argouml-spl,precision,3,25,False,0.008641786748205059,False,6.844375316268364e-31,True,9.313225746154785e-10,True
argouml-spl,precision,3,25,True,0.5375357077333017,True,9.96332077146022e-28,True,9.313225746154785e-10,True
argouml-spl,precision,5,5,False,0.16319513171795164,True,2.255748337140707e-17,True,9.313225746154785e-10,True
argouml-spl,precision,5,5,True,0.13557887495545562,True,3.228237719284799e-12,True,9.313225746154785e-10,True
argouml-spl,precision,5,10,False,0.12233604088390865,True,1.528245301569477e-18,True,9.313225746154785e-10,True
argouml-spl,precision,5,10,True,0.00017817114292381026,False,1.1260034062529533e-11,True,9.313225746154785e-10,True
argouml-spl,precision,5,15,False,0.14237434400971033,True,1.6016447148244377e-19,True,9.313225746154785e-10,True
argouml-spl,precision,5,15,True,0.005020328541771051,False,3.1998119542934613e-13,True,9.313225746154785e-10,True
argouml-spl,precision,5,20,False,0.09576612884487641,True,1.8475066264408112e-19,True,9.313225746154785e-10,True
argouml-spl,precision,5,20,True,0.31611047736112596,True,1.5946493126164852e-16,True,9.313225746154785e-10,True
argouml-spl,precision,5,25,False,0.1433277299998329,True,2.179688017420541e-19,True,9.313225746154785e-10,True
argouml-spl,precision,5,25,True,0.3310075583078752,True,1.2290788563266032e-17,True,9.313225746154785e-10,True
argouml-spl,precision,7,5,False,0.054375433872110454,True,1.8871697063989722e-11,True,9.313225746154785e-10,True
argouml-spl,precision,7,5,True,1.5864440936937864e-05,False,1.4910968962380175e-07,True,9.313225746154785e-10,True
argouml-spl,precision,7,10,False,0.07654547520531983,True,5.788350582127954e-12,True,9.313225746154785e-10,True
argouml-spl,precision,7,10,True,3.349334890999522e-06,False,8.314267741012808e-08,True,9.313225746154785e-10,True
argouml-spl,precision,7,15,False,0.05193116816404899,True,6.499481492203103e-12,True,9.313225746154785e-10,True
argouml-spl,precision,7,15,True,1.8343158965732854e-05,False,9.58835294258241e-08,True,9.313225746154785e-10,True
argouml-spl,precision,7,20,False,0.06478948551686868,True,4.9828842004342806e-12,True,9.313225746154785e-10,True
argouml-spl,precision,7,20,True,8.082437388801111e-05,False,4.682526572698422e-09,True,9.313225746154785e-10,True
argouml-spl,precision,7,25,False,0.04572772709468919,False,5.386583217506582e-12,True,9.313225746154785e-10,True
argouml-spl,precision,7,25,True,0.0007481042090348106,False,2.591330854488185e-09,True,9.313225746154785e-10,True
argouml-spl,recall,3,5,False,6.099437166251312e-07,False,0.0006523866750604994,True,9.107648574484005e-06,True
argouml-spl,recall,3,5,True,2.1949871461133372e-07,False,0.004594604422102801,True,0.0005906134248146386,True
argouml-spl,recall,3,10,False,2.1411135059435404e-06,False,0.00027296818766294845,True,1.3507974243552752e-05,True
argouml-spl,recall,3,10,True,1.368285809986195e-06,False,0.000680664154722968,True,1.993127919129203e-05,True
argouml-spl,recall,3,15,False,4.8085852699809826e-06,False,0.000162274795036995,True,9.107648574484005e-06,True
argouml-spl,recall,3,15,True,5.922977590365365e-06,False,0.00019804766930244444,True,1.0491705511921633e-05,True
argouml-spl,recall,3,20,False,3.3071265163046685e-06,False,0.0001791907789780849,True,9.107648574484005e-06,True
argouml-spl,recall,3,20,True,5.454401870149417e-06,False,0.00016719277583531814,True,6.949007046894953e-06,True
argouml-spl,recall,3,25,False,5.82686651964918e-06,False,0.00013198036535939838,True,4.149049653178655e-06,True
argouml-spl,recall,3,25,True,8.235018246395751e-06,False,0.00011997709090435275,True,3.935743651233956e-06,True
argouml-spl,recall,5,5,False,0.00024811661327531995,False,9.355134224400272e-06,True,4.149049653178655e-06,True
argouml-spl,recall,5,5,True,8.647361929560519e-07,False,0.0009047289844210135,True,0.0003180756832222919,True
argouml-spl,recall,5,10,False,0.00031533307573116927,False,8.246775851158344e-06,True,1.8948097207904354e-06,True
argouml-spl,recall,5,10,True,0.00023964029425954482,False,4.2647246000825504e-05,True,4.610046744346619e-06,True
argouml-spl,recall,5,15,False,0.00015441868508169482,False,6.1917675390345156e-06,True,1.2815416253625037e-06,True
argouml-spl,recall,5,15,True,0.0004695851589623779,False,1.4949543739298912e-05,True,9.955838322639465e-07,True
argouml-spl,recall,5,20,False,0.00023348703392262677,False,8.839201311351731e-06,True,1.2815416253625037e-06,True
argouml-spl,recall,5,20,True,0.0005193634508596617,False,7.823308052740658e-06,True,3.6148027538805562e-06,True
argouml-spl,recall,5,25,False,0.0003200397094312835,False,7.600615636491976e-06,True,9.313225746154785e-10,True
argouml-spl,recall,5,25,True,0.00040916272331978923,False,7.026471643545278e-06,True,4.6566128730773926e-09,True
argouml-spl,recall,7,5,False,2.2400099867065442e-08,False,0.005845027802289626,True,1.3507974243552752e-05,True
argouml-spl,recall,7,5,True,1.3951574371572657e-06,False,0.006133489083784231,True,0.009501895188918344,True
argouml-spl,recall,7,10,False,3.200982823927281e-08,False,0.004599804137144919,True,4.149049653178655e-06,True
argouml-spl,recall,7,10,True,7.956599082267729e-08,False,0.003743417309481441,True,0.0002527441829442978,True
argouml-spl,recall,7,15,False,2.6155371213618243e-08,False,0.005062561470157517,True,2.803058263748007e-06,True
argouml-spl,recall,7,15,True,4.7196150035784154e-08,False,0.004578354620191238,True,0.00014623139303443,True
argouml-spl,recall,7,20,False,3.309744379358122e-08,False,0.00439006739673686,True,1.2815416253625037e-06,True
argouml-spl,recall,7,20,True,5.047740978016579e-08,False,0.004023286792519541,True,2.291112656922456e-05,True
argouml-spl,recall,7,25,False,4.236015995831539e-08,False,0.0040866718016008136,True,1.8948097207904354e-06,True
argouml-spl,recall,7,25,True,4.860389546158749e-08,False,0.004137721050342427,True,1.7301585813737826e-05,True
berkeley-db-libdb,f1,3,5,False,0.0026206968528519957,False,3.162418079877455e-12,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,3,5,True,0.0011345543539775034,False,8.621732529351775e-06,True,1.5739351511001587e-07,True
berkeley-db-libdb,f1,3,10,False,3.183165363192622e-05,False,5.837675506799385e-14,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,3,10,True,0.0003472115640786999,False,1.0051678947064944e-06,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,3,15,False,0.0006102966565819778,False,5.363051113837511e-18,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,3,15,True,0.0012439588766053101,False,1.0671228242901685e-07,True,2.7939677238464355e-09,True
berkeley-db-libdb,f1,3,20,False,0.0006825463797352183,False,4.487057267897461e-16,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,3,20,True,0.0023089499690573945,False,1.5088320851875855e-09,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,3,25,False,0.0010292957395370804,False,1.909316402305483e-18,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,3,25,True,0.0007364658184227472,False,5.886230867091887e-10,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,5,5,False,1.0933739593133652e-05,False,7.894165776593774e-08,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,5,5,True,0.00043505588475551066,False,3.1201527551120633e-06,True,9.313225746154785e-10,True
berkeley-db-libdb,f1,5,10,False,0.002759115695977746,False,1.7399919711204794e-10,True,1.2815416253625037e-06,True
